headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,indirectly,"間接に,遠回しに",/ɪndɪˈrɛktli/,21625,He indirectly hinted at his true intentions.,彼は間接的に彼の真の意図をほのめかした。,3000133
,,,investigator,"〈C〉調査者,捜査員",/ɪnˈvɛstɪˌɡeɪtər/,22465,The investigator is gathering evidence for the case.,調査員は事件の証拠を集めています。,3000362
,,,mathematical,"数学の,数学的  / (非常に)正確な",/mæθəˈmætɪkəl/,26105,Mathematical equations can be solved using various methods.,数学の方程式はさまざまな方法を使って解くことができます。,3001271
,,,memo,"メモ,覚え書き  / (会社内などの)連絡メモ",/'miː.moʊ/,26385,I wrote a memo to remind myself of the important tasks.,重要なタスクを思い出すためにメモを書きました。,1665380
,,,mineral,"(動植物に対して)無機物  / 鉱物,鉱石  / 《複数形で》《英》炭酸水,清涼飲料(mineral water)",/mɪnərəl/,26917,Plants require minerals for their growth.,植物は成長に無機物を必要とします。,1643200
,,,oust,"〈他〉《...から》 を追放する, を失脚させる 《from ...》",/aʊst/,29910,The shareholders voted to oust the CEO.,株主たちはCEOを解任するために投票した。,1662479
,,,par,"【名/U】同等,同価,同水準,同程度 / 平価,額面価格 / (程度・質・状態・数量などの)平均,標準 / 【名/C】(ゴルフで)標準打数,パー / 【動/他】(ゴルフで)〈1ホールまたは1コース〉を基準打数でとる,をパーで上回る",/pɑːr/,30562,His command of English is on a par with mine.,彼の英語力は私のそれと等しい。,43649
,,,pit,"〈C〉地面の穴, くぼみ / 《the ~》立て坑,採掘場",/pɪt/,32028,The dog fell into a deep pit.,犬は深い穴に落ちた。,1665157
,,,unemployed,"仕事のない,失業した  / 利用してない,遊ばせてある",/ʌnɪmˈplɔɪd/,45111,He has been unemployed for six months.,彼は6ヶ月間仕事のない状態です。,3006169
,,,methodology,【名/U/C】方法論,/mɛθəˈdɑlədʒi/,48307,The researcher used a rigorous methodology to conduct the experiment.,研究者は厳密な方法論を用いて実験を行った。,3006995
,,,positively,"積極的に / 《話》全く,本当に /  《米》(質問に答えて)そのとおり,もちろん",/pɑːzɪtɪvli/,32743,She always approaches challenges positively.,彼女は常に積極的に課題に取り組みます。,1651038
,,,robot,"ロボット  / 機械的に働く人間,他人の意のままに働く人",/ˈroʊˌbɑt/,36324,The robot cleaned the entire house.,ロボットが家中を掃除しました。,3003921
,,,swap,"《単数形で》(物と物の)交換,取り換え;交換物  / (と)…‘を'交換する《+名+for+名》  / 交換する",/swɑp/,42050,I will swap my book with yours.,私はあなたの本と私の本を交換します。,3005382
,,,desktop,〈U〉〈C〉デスクトップ / 机の表面,/'dɛsktɒp/,48367,My desktop has gotten cluttered.,デスクトップがグチャグチャになってきた。,114131
,,,presume,を推定する / を仮定する / 思い切って...する《to do》,/prɪˈzjuːm/,33254,I presume he will be late for the meeting.,彼は会議に遅れると思います。,3003112
,,,prohibit,"(法律あるいは権威をもって)…を禁止する, を禁ずる / （物事が）…を妨げる",/prəˈhɪbɪt/,33579,Smoking is prohibited in this area.,このエリアでは喫煙は禁止されています。,1628758
,,,restraint,"〈U〉抑制,拘束,束縛 / (行為・感情などの)自制,慎み,遠慮 / 〈C〉抑制するもの",/rɪˈstreɪnt/,35862,"She was angry, but she spoke with restraint.",彼女は怒っていたが、それをおさえて話をした。,13573
,,,resume,"〈他〉〈中断した仕事・話など〉を再び始める, を再び続ける / …を再び取る, 取り戻す / 〈自〉再び始める",/rɪˈzuːm/,35871,We’ll resume the meeting at 10:30 tomorrow.,明日は10:30からミーティングを再開します。,3003817
,,,seize,"(急に)...をぐいとつかむ / (力ずくで)…を奪い取る, を差し押さえる / を把握する",/siz/,37907,He tried to seize the opportunity.,彼はチャンスをぐいとつかもうとした。,3004300
,,,sometime,"(未来の)いつか, そのうち / 《未来の時を表す語句の前で》( ...の)あたりで, ある時点で / (過去の)あるとき",/sʌm.taɪm/,39917,I will meet with my friend sometime next week.,来週あたり、友人と会う予定です。,1623327
,,,span,〈他〉架かる、渡される/　及ぶ、広がる/　回す、つかむ/　測る　,/spæn/,40138,She span the globe in her travels.,彼女は旅行で地球を一周した。,4680694
,,,stall,"〈C〉売店, 屋台, 露店 / 商品陳列台 / (家畜などの) 一仕切りの部屋 /  (車・飛行機などの)失速, エンスト",/stɔːl/,40698,You may not set up a roadside stall without prior notice.,事前通告なしに路上出店することはできません。,1863
,,,sue,"《...の件で》 を訴える《for ...》 / 《...の件で》訴える, 告訴する《for ...》 / 《...を》請求する; 懇願する《for ...》",/suː/,41636,Sue decided to sue the company for wrongful termination.,スーは不当解雇で会社を訴えることに決めました。,3005266
,,,swell,"〈物が〉大きくなる, ふくれる, はれる《up》 / 〈帆などが〉張り出る《out》 / 〈程度・力などが〉増大する / をふくらませる / 〈帆など〉を張り出させる《out ...》 / を増大させる",/swɛl/,42113,The waves swell as the storm approaches.,嵐が近づくにつれて波が大きくなる。,3005402
,,,remainder,"〈U〉《集合的に;複数扱い; the ~》残り,残りの人(物) / 〈C〉(引き算の)残り, (割り算の)余り",/ɹɪˈmeɪndər/,35535,"I have finished my work, but there is still a remainder of tasks to be completed.",仕事は終わったが、まだ残りのタスクがある。,3003703
,,,overhaul,"【動/他】(修理・治療などのために)…を分解検査(修理)する,を精密検査する / (組織など)を徹底的に見直して改革する / ...に追いつく / 【名/C】分解検査, 分解修理",/ˈoʊvərˌhɔl/,30105,The company decided to overhaul its outdated technology.,同社は時代遅れの技術を全面的に見直すことを決定した。,1628565
,,,slot,"細長いみぞ(くぼみ,口);(自動販売器などの)料金投入口  / (リスト・予定表・ある組合せなどの中で占める)場所,位置",/slɒt/,39423,I found a coin in the slot.,隙間の中にコインを見つけた。,3004684
,,,appreciation,"〈U〉(…を)正しく認識すること,(…の)識別,評価《+of+名》  / 〈U〉《時にan~》(文学・芸術などの)理解,鑑賞;批評,論評《+of+名》  / 〈U〉(…に対する)感謝《+for+名》  / 〈U〉《時にa~》(価格の)騰貴",/əˌpriːʃiˈeɪʃən/,1965,Your appreciation of the situation is accurate.,状況に対するあなたの認識は正確です。,2996170
,,,awkward,"気まずい / (人・動作などが) ぶかっこうな, ぎこちない / (物が) 扱いにくい / (状態・問題などが) やっかいな",/ˈɔːkwərd/,2835,He felt awkward standing alone in the crowded room.,彼は混雑した部屋で一人立っているのが気まずかった。,1628252
,,,contingent,"【名/C】派遣団,代表団 / 不慮の出来事 / 【形】《他の条件などに》依存する,...次第の《on, upon ...》 / 不測の, 偶然の / 《...に》起こり得る《to ...》",/kənˈtɪndʒənt/,9214,The success of the project is contingent on securing funding.,プロジェクトの成功は資金の確保にかかっている。,1665178
,,,slash,"さっと切りつけること,打ち下ろすこと / 切り口,深い切り傷 / (価格 / 数量などの)大幅切り下げ,大削減 / (衣服の)あき口(スリット)  / 斜線記号(/)",/slæʃ/,39299,a slash across his right cheek,右頬の切り傷,4680250
,,,tumble,"〈自〉転がる,倒れる / 転げ回る《about》/崩れ落ちる《down》 / 〈他〉を放り投げる / をめちゃくちゃにする",/ˈtʌmbəl/,44479,I watched the leaves tumble down from the tree.,私は木から葉が落ちるのを見ました。,3006016
,,,valid,"(理論・理由などが) 妥当な /  (契約・法律などが) 合法的な, 正当な / (ある条件のもとで)有効な",/'vælɪd/,45804,The argument presented in the paper is valid.,論文で提示された議論は妥当です。,3006354
,,,proxy,"〈U〉(…の)代理,代理権;〈C〉代理人《+for+名》  / 〈C〉委任状",/'prɒksi/,33841,"I couldn't attend the meeting, so I sent my colleague as a proxy.",私は会議に出席できなかったので、代理として同僚を送りました。,1645343
,,,laser,"レーザー(強力な可視光線を発生させる;医療,通信,軍事用)",/ˈleɪzər/,23917,The scientist used a laser to cut through the metal.,科学者は金属を切るためにレーザーを使用しました。,1638106
,,,compatible,"《...と》両立できる, 矛盾のない, 互換性のある《with ...》 / 《be ~ with ...》《...と》うまがあう",/kəmˈpætəbəl/,8638,These two software programs are compatible with each other.,これらの2つのソフトウェアプログラムは互換性があります。,1629323
,,,composite,"【形】合成の,複合の / キク科の / 【名/C】合成物,複合物 / キク科植物",/kəmˈpɑzɪt/,8706,Spain is a composite of diverse traditions and people.,スペインは、多様な伝統と人々の複合体です。,1017208
,,,computation,"〈U/C〉計算, 算出 / 〈C〉(計算の結果出た)算定額",/kɑmpjuˈteɪʃən/,8741,Computation is an essential part of computer science.,計算はコンピュータ科学の重要な一部です。,1634582
,,,terminal,終わりの / 死に至る,/'tɜːrmɪnəl/,42877,"Her illness, diagnosed as a rare and terminal form of leukemia, left her with only months to live.",彼女は珍しい末期の白血病と診断され、余命数カ月と宣告された。,3010857
,,,similarity,"〈U〉類似,相似 / 〈C〉類似点",/sɪmɪˈlærəti/,38973,There is some similarity in the way they sing.,彼らの歌い方にはいくつかの類似点がある。,1017200
,,,socially,"社会的に,社会によって / 社交上, 社交的に / 親しく, 打ち解けて",/ˈsoʊʃəli/,39752,She is socially active and enjoys attending various events.,彼女は社会的に活発で、さまざまなイベントに参加するのが好きです。,1658795
,,,unify,"〈他〉...を統一する /〈自〉一つになる, 一体化する",/juː.nɪ.faɪ/,45219,The goal of this project is to unify all the different systems into one platform.,このプロジェクトの目標は、異なるシステムを統一した一つのプラットフォームにすることです。,1629412
,,,continuity,"【名/U】連続性, 一貫性 / （映画などの）撮影用台本, コンテ / 【名/C】コンテに書かれた個々の指示",/kɒn.tɪ.nuˈɪ.ti/,9220,There is no continuity between the three parts of the book.,この本の3つの章の間には、連続性がありません。,1017203
,,,restate,"【動/他】《かたく》（強調するために）...を再び述べる, …を言い換える, を言い直す",/ɹiːˈsteɪt/,35846,Let me restate my point.,私のポイントを再述します。,1645995
,,,unauthorized,"認可されていない,権限のない, 不正な",/ʌnˈɔːθəraɪzd/,48386,The unauthorized access to the system was detected and blocked.,システムへの不正アクセスが検出され、ブロックされました。,1628201
,,,municipal,"市の, 町の, 地方自治体の / 市政の, 市営の,市立の",/mjuːˈnɪsɪpəl/,27875,The municipal government is responsible for maintaining the city's infrastructure.,市のインフラの維持管理は市政府の責任です。,3001734
,,,operational,"【形】操作上の / 作戦上の / (航空機などが)いつでも使用できる,操作できる",/ˌɑpəˈreɪʃənəl/,29653,The operational procedures need to be followed strictly.,操作手順は厳密に従う必要があります。,3002221
,,,substitution,"〈U/C〉《...の》 代用 , 代理 , 置き換え 《for ...》",/sʌbstɪˈtjuːʃən/,41569,Substitution is a common strategy used in mathematics to solve equations.,代入法は数学で方程式を解くときによく使われる戦略です。,1661738
,,,managerial,"経営上の, 管理上の / 経営者の",/mænˈɪdʒəriəl/,25710,He has excellent managerial skills.,彼は優れた経営上のスキルを持っています。,3001165
,,,fiscal,"財務の,会計の / 国庫の",/fɪskəl/,15894,The government implemented various fiscal policies to stimulate economic growth.,政府は経済成長を促進するために様々な財政政策を実施しました。,1628578
,,,incur,"(損害・非難・危険など)を招く,をこうむる",/ɪnˈkɜr/,21522,His reckless behavior could incur serious consequences.,彼の無謀な行動は重大な結果を招くかもしれません。,3000108
,,,discretionary,"任意の, 自由裁量の",/dɪˈskreʃəˌnɛri/,12128,The use of discretionary funds is subject to approval.,任意の資金の使用は承認の対象となります。,1640631
,,,fleet,"〈C〉車両, 艦隊 /   (車・飛行機などの)隊,団 《of ...》",/fliːt/,16100,The company operates a fleet of trucks for its delivery service.,同社は配送サービスのためにトラックを運行しています。,1628668
,,,fluctuate,"(価格・数量などが) 変動する,上下する / (気分などが) 揺れ動く, 動揺する",/ˈflʌktʃueɪt/,16247,The stock prices fluctuate daily.,株価は毎日変動する。,2998748
,,,likewise,"《かたく》 同様に / 《かたく》 …もまた / さらに / 《話》 同様です, こちらこそ",/ˈlaɪkwaɪz/,24528,"I enjoy reading, and likewise, my sister loves to read.",私は読書を楽しんでいますし、同様に、私の姉も読書が大好きです。,3000882
,,,administrative,行政上の / 管理の / 経営の,/ædˈmɪnɪstrətɪv/,544,The administrative procedures in this office are quite complex.,このオフィスの行政手続きはかなり複雑です。,2995782
,,,decentralize,(行政) の中央集権化を避ける / (産業・人口など)を分散させる,/diːˈsɛntrəˌlaɪz/,10978,Many companies are starting to decentralize their operations to improve efficiency.,多くの企業が効率を改善するために、運営を分散化し始めています。,1629113
,,,outweigh,...より重要である / ...より価値がある / ...より重い,/aʊtˈweɪ/,30030,The benefits of exercise outweigh the risks.,運動の利点はリスクを上回る。,3002330
,,,withhold,"《...に》 (承認・真相など)を与えないでおく,を差し控える《from ...》 / 《...から》 を抑える, を制する 《from ...》",/wɪθˈhoʊld/,47659,He decided to withhold the information from his colleagues.,彼は同僚たちに情報を与えないことを決めた。,3006794
,,,duly,"《かたく》正しく, 当然に, 適切に, 順当に",/ˈdjuːli/,13136,The documents were duly signed and submitted.,文書は適切に署名され、提出されました。,1665301
,,,ray,"〈C〉光線, 熱線, 放射線 / 《a ~》《希望などの》一筋(ひとすじ), ごく少量《of ...》 / 放射状に突き出たもの",/reɪ/,34909,The sun's rays warmed my face.,太陽の光線が私の顔を温めた。,3003502
,,,mild,"(態度などが) 柔和な / (程度などが) 適度な, ほどよい",/mɑɪld/,26791,She has a mild temperament.,彼女は柔和な気質を持っています。,3001454
,,,redundancy,"〈U〉余分な言葉を使うこと,冗長,冗漫  / 〈C〉余分なもの, 不必要な言葉 / 〈U/C〉冗長性, 余剰性 / 《英》余剰人員の解雇",/rɪˈdʌndənsi/,35268,The redundancy in the new employee's email made the message longer and less clear than necessary.,新入社員のメールに冗長な部分があったため、必要以上にメッセージが長くなり、わかりにくくなってしまった。,1627748
,,,multiply,"【副】多様に,複雑に,複合的に, 多くの方法で",/mʌltɪplaɪ/,27849,The artist used colors multiply to create a complex and vibrant painting.,その芸術家は複雑で鮮やかな絵画を作るために、色を多様に使用しました。,6510440
,,,prop,"【名/C】支柱,支え / 支えとなる人(物) / 【動/他】を支える / 《...に》...を寄り掛からせる《against ...》",/prɑp/,33656,He propped his bike against the wall.,彼は自転車を壁に立てかけた。,30886
,,,resume,"〈C〉概要,摘要,あらまし / レジュメ / 《米》 履歴書",/rɪˈzjuːm/,35872,I need to update my resume before applying for the job.,仕事に応募する前に履歴書を更新する必要があります。,3003815
,,,sole,【名/C】足の裏 / 靴底 / 【動/他】〈靴〉に底をつける,/soʊl/,39848,He is the sole owner of the company.,彼はその会社の唯一のオーナーです。,3004795
,,,inflationary,"インフレの, 通貨膨張の, 物価騰貴の",/ɪnˈfleɪʃəˌnɛri/,21824,The government implemented measures to control inflationary pressures.,政府はインフレ圧力を抑制するための対策を実施しました。,3000182
,,,violation,"〈C〉(約束・法律などの)違反,無視",/vaɪəˈleɪʃən/,46266,He was charged with a violation of the law.,彼は法律違反で告訴された。,3006450
,,,tonne,"《重さ》メートルトン,トン(1,000キログラムに相当する重さの単位)",/tɒn/,43659,The shipment weighed 10 tonnes.,積荷の重さは10トンでした。,3005824
,,,conceptual,"概念の, 概念的な, 概念上の",/kənˈsɛptʃuəl/,8783,The artist's work explores conceptual ideas and challenges traditional notions of art.,芸術家の作品は概念的なアイデアを探求し、伝統的な芸術の概念に挑戦しています。,1658818
,,,ruler,"支配者,統治者  / 定規",/ˈruːlər/,36688,The ruler was made of brass.,その定規は真鍮で作られていました。,1623729
,,,supposedly,"たぶん,おそらく /  《文修飾》想定するところでは",/səˈpoʊzɪdli/,41903,"Supposedly, the old mansion is haunted by ghosts of the previous owners.",おそらく、古い邸宅には前の所有者の幽霊が取り憑いていると思われます。,1627750
,,,stabilize,"…‘を'固定させる,安定させる",/steɪ.bə.laɪz/,40638,We need to stabilize the situation before it gets worse.,悪化する前に状況を安定させる必要があります。,1662609
,,,standardize,【動/自/他】標準化する,/ˈstændərdaɪz/,40726,We need to standardize our procedures to ensure consistency.,一貫性を確保するために、手続きを標準化する必要があります。,3005033
,,,tricky,"(人が)こうかつな,ずるい / (物事・仕事などが)手の込んだ, 慎重を要する, 扱いにくい",/'trɪki/,44220,Dealing with tricky situations requires careful consideration.,こうかつな状況に対処するには注意深い考慮が必要です。,3005959
,,,discrimination,"区別(識別)すること  / (…に対する)差別待遇《+against+名》  / 識別力,鋭く見分ける力",/dɪˌskrɪmɪˈneɪʃən/,12131,Discrimination based on race is a violation of human rights.,人種に基づく差別は人権の侵害です。,2997668
,,,fiber,"(1本の)繊維,すじ  / 〈U〉《集合的に》繊維,繊維組織  / 〈U〉(布の)生地,織り地(textile)、 食物繊維 / 〈U〉性格,性質;根性",/ˈfaɪbər/,15583,I need to increase my daily intake of fiber.,私は毎日の食物繊維摂取量を増やす必要があります。,2998581
,,,inevitably,"必然的に,避けられないで",/ɪˈnɛvɪtəbli/,21738,Change is inevitably a part of life.,変化は必然的に人生の一部です。,3000155
,,,quantitative,"量の,量的な",/kwɑːntəˈteɪtɪv/,34331,Quantitative analysis is used to measure the amount of a substance.,定量分析は物質の量を測定するために使用されます。,1638112
,,,resemble,似ている、類似している,/rɪˈzɛmbəl/,35759,They resemble each other in appearance.,彼らは容姿が似ている。,2995392
,,,strategic,"(比較変化なし)戦略の,計略の / 戦略上重要な",/strəˈtɛdʒɪk/,41235,The company's strategic plan focused on expanding their market share by launching new products and acquiring smaller competitors.,同社の戦略計画は、新製品の発売と小規模な競合他社の買収によって市場シェアを拡大することに重点を置いていました。,1627749
,,,barrel,"(胴のふくれた)たる  / (…の)1たる[の量]《+of+名》  / 銃身,砲身  / 《単数扱い》(…の)多量《+of+名》《話》",/ˈbærəl/,3365,The wine was aged in a large oak barrel.,そのワインは大きなオークのたるで熟成されました。,2996551
,,,tribe,"《集合的に》《単数・複数扱い》部族  / 《しばしば軽べつして》(…の)仲間,集団,連中《+of+名》  / (動植物の)族(family(科)と genus(属)の間の分類単位)",/traɪb/,44197,The tribe gathered around the fire to celebrate their victory.,部族は勝利を祝うために火の周りに集まった。,3005960
,,,transformation,"〈U〉変形,変身,変換",/trænsfɔrˈmeɪʃən/,44003,The caterpillar undergoes a transformation and becomes a butterfly.,毛虫は変態を経て蝶になる。,3005907
,,,treaty,条約 / 協定 / 条定 / 和約,/'triːti/,44136,The two countries signed a treaty to promote trade and cooperation.,両国は貿易と協力を促進するために条約に署名しました。,3005942
,,,capitalism,資本主義,/ˈkæp.ɪ.təl.ɪ.zəm/,6261,Capitalism is an economic system based on private ownership of the means of production and their operation for profit.,資本主義は、生産手段の私有とその利益のための運営に基づく経済システムです。,1662612
,,,bulk,"【名/U】《...の》 大部分, 大半 《the ~ of ...》 / 容量, かさ / (船の)積み荷  / 【形】大口の / 大量の / 【動/自】かさばる / 【動/他】を大きく見せる",/bʌlk/,5518,I bought a bulk package of toilet paper.,私はトイレットペーパーの大量パッケージを買いました。,3009083
,,,harvest,"〈C〉(穀物・果物などの)収穫,取り入れ  / 〈C〉収穫期,取り入れの時期  / 〈C〉収穫物;収穫高(量)  / 《a~,the~》(仕事などの)結果,報い  / 〈作物〉‘を'取り入れる,〈畑〉‘の'作物を取り入れる  / 〈結果など〉‘を'獲得する",/ˈhɑːrvɪst/,19327,The farmers were busy with the harvest.,農民たちは収穫で忙しかった。,2999526
,,,seminar,"(指導教授のもとで行う大学の)研究(演習)グループ,研究会,演習,セミナー,ゼミナール",/ˈsɛmɪnɑr/,38045,I joined a seminar to conduct research under the guidance of my professor.,私は教授の指導のもとで研究を行うためにセミナーに参加しました。,3004333
,,,utilize,"...を利用する, ...を役立たせる",/juːˈtɪl.aɪz/,45715,I utilize technology to streamline my work process.,私は技術を利用して仕事のプロセスを効率化しています。,3006333
,,,textbook,教科書,/'tɛkst.bʊk/,42958,I forgot to bring my textbook to class.,授業に教科書を持ってくるのを忘れてしまった。,3005625
,,,programmer,プログラム(番組)を作る人;(コンピューターの)プログラマー,/prəˈɡræmər/,33574,The programmer is working on a new software project.,プログラマーは新しいソフトウェアプロジェクトに取り組んでいます。,3003208
,,,shopper,〈C〉買い物客 / ちらし,/ˈʃɒpər/,38649,The shopper bought a new dress.,その買い物客は新しいドレスを買いました。,3004477
,,,unexpected,"予期しない, 思いがけない",/ʌnɪkˈspɛktɪd/,45129,I received an unexpected gift from my friend.,友達から予期しないプレゼントをもらった。,3006174
,,,trainee,"訓練(特に職業訓練)を受けている人,徒弟,見習い  / 《米》(軍事教練を受ける)新兵",/ˌtɹeɪˈniː/,43948,The trainee is learning new skills at the company.,訓練生は会社で新しいスキルを学んでいます。,3005896
,,,unpaid,"未払いの,未納の  / 無給の,無報酬の",/ʌnˈpeɪd/,45343,He has several unpaid bills.,彼はいくつかの未払いの請求書を持っています。,3006240
,,,unnecessary,不要な,/ʌnˈnɛsəˌsɛri/,45329,Using unnecessary force will only cause more harm.,不要な力を使うと、ますます害を引き起こすだけです。,3006235
,,,goods,"(不動産以外の)財産,(金・証券以外の)動産  / 商品,品物  / 《米》反物,織物  / 《英》(鉄道で運ばれる)貨物",/ɡʊdz/,18232,He inherited all of his father's goods.,彼は父の財産をすべて相続した。,2999229
,,,facilitate,"〈他〉を容易にする, を楽にする / を助ける, を促進する",/fəˈsɪlɪteɪt/,15068,Technology can facilitate communication between people who are far apart.,技術は遠く離れた人々の間のコミュニケーションを容易にすることができます。,2998443
,,,foster,"【動/他】〈里子など〉を養育する / 〈親善関係・理解など〉を促進する / を心に抱く / 【形】育ての, 里親の",/'fɑːstər/,16723,She decided to foster a rescue dog.,彼女は保護犬を育てることに決めました。,2998872
,,,exclusively,"排他的に,独占的に,のみ/ 全く,もっぱら(solely)",/ɪkˈskluːsɪvli/,14688,She is exclusively focused on her career.,彼女は仕事に完全に集中しています。,2998334
,,,verbal,"言葉の,口頭の",/'vɜr.bəl/,46018,She has excellent verbal skills.,彼女は優れた言葉のスキルを持っています。,1658849
,,,worthwhile,価値のある / やりがいのある,/wɜrθˈwaɪl/,47902,Visiting the Louvre Museum is a worthwhile experience.,ルーブル美術館を訪れることは価値のある経験です。,3006872
,,,conglomerate,固まりになった;密集した  / 礫岩(れきがん)の  / 複合企業の  / (いろいろな物の)集合体;丸いかたまり  / 礫岩  / 複合企業  / …'を'集めて丸く固める  / 丸く固まる,/kənˈɡlɑmərət/,8961,The conglomerate of rocks formed a solid structure.,岩石の塊が強固な構造を形成した。,1658494
,,,devaluation,"貨幣の平価切り下げ,デノミ",/dɪˌvæljuˈeɪʃən/,11665,The devaluation of the currency caused prices to skyrocket.,通貨の切り下げにより物価が急騰した。,1628752
,,,endless,"無限の,果てしのない  / 絶え間のない,ひっきりなしの  / (端と端がつながって)輪になっている",/ˈɛndləs/,13963,The possibilities are endless.,可能性は無限です。,2998137
,,,expertise,"〈U〉専門技術,専門知識 / 〈C〉専門家の調査報告",/ˌɛk.spɝˈtiːz/,14828,He has extensive expertise in the field of technology.,彼はテクノロジーの分野で広範囲の専門知識を持っています。,1628233
,,,handful,"〈C〉《...の》一握り, 一つかみ《of ...》 / 《a ~》《...の》わずか, 少量《of ...》 / 《話》手に負えない人(物事)",/'hænd.fʊl/,19136,He picked up a handful of sand.,彼は砂を一握り拾い上げた。,2999466
,,,reportedly,伝えられるところによれば…とのこと,/rɪˈpɔːrtɪdli/,35679,"Reportedly, the company is planning to launch a new product next month.",伝えられるところによれば、その会社は来月新製品を発売する予定です。,1657689
,,,provoke,...を怒らせる / (ある状態に)(人)を駆り立てる  / (人の反応など)を引き起こす,/prəˈvoʊk/,33826,His controversial remarks provoked a heated discussion among the panelists.,彼の物議を醸す発言は、パネリストたちの間で熱い議論を引き起こした。,6535959
,,,quasi,"【複合要素】疑似の..., 類似の..., ある意味の..., 準...",/'kweɪzɪ/,34365,He is a quasi-scientist.,彼は疑似科学者です。,1657691
,,,veto,"【名】拒否権；拒否権の行使；拒否；禁止【動/他】を拒否する,否認する",/'vitoʊ/,46125,The president has the power to veto any bill passed by Congress.,大統領は議会が可決した法案を拒否する権限を持っています。,1634893
,,,void,"(法的に)無効な  / 《文》空虚な,からっぽの  / 《補語にのみ用いて》《be void of+名》(…が)ない,欠けた  / 〈U〉《the ~》(地球の回りの)空間,空所,虚空  / 〈C〉《単数形で》(地面・壁などの)すきま,割れ目  / 〈C〉《単数形で》空虚感,物足りなさ  / (法的に)…‘を'無効にする  / …‘を'からにする;…‘を'排泄(はいせつ)する",/vɔɪd/,46422,The contract was declared void by the court.,契約は裁判所によって無効とされました。,3006494
,,,wholesaler,卸し売り業者,/ˈhoʊlˌseɪlər/,47378,The wholesaler supplies products to retailers.,卸し売り業者は小売業者に商品を供給します。,3006719
,,,unprecedented,"【形】先例のない,未曾有の；史上最大の,空前の",/ʌnˈprɛsɪˌdɛntɪd/,45358,The COVID-19 pandemic has caused unprecedented challenges for the global economy.,新型コロナウイルスのパンデミックは、世界経済にとって先例のない挑戦を引き起こしました。,3006241
,,,unwilling,気が進まない、不本意の,/ʌnˈwɪlɪŋ/,45533,She was unwilling to go to the party.,彼女はパーティーに行く気が進まなかった。,3006276
,,,wary,警戒している、注意深い、用心深い,/'wɛri/,46724,I am wary of strangers.,私は見知らぬ人に警戒しています。,3006561
,,,wholly,"まったく,完全に(completely)",/ˈhoʊ.li/,47381,She is wholly committed to her work.,彼女は仕事に完全に取り組んでいます。,6510514
,,,yuan,"ユアン,元(中華人民共和国の貨幣単位)",/juːˈɑːn/,48188,The currency of China is yuan.,中国の通貨はユアンです。,3006957
,,,allocate,"《...に》...を配分する, を割り当てる《to, for ...》",/ˈæləˌkeɪt/,1150,The company will allocate resources to the new project.,会社は新しいプロジェクトにリソースを割り当てます。,1628112
,,,probe,探査器 / 探求 / 問題点 / 探測器 / 調査,/prəʊb/,33472,Scientists launched a probe to explore the outer reaches of the solar system.,科学者たちは、太陽系の外部領域を探査するために探査機を打ち上げました。,3003173
,,,subtract,"《...から》 ...を引く, を減じる 《from ...》 / 引き算をする",/səbˈtrækt/,41585,"To solve this math problem, you need to subtract the second number from the first number.",この数学の問題を解くには、2番目の数を1番目の数から引く必要があります,3005247
,,,contemplate,"をよく考える,を熟考する / をじっと見つめる / を予想する / 熟考する",/kɒnˈtɛm.pleɪt/,9178,I contemplate my future every day.,私は毎日将来をよく考えます。,3009841
,,,pledge,"【名/C/U】誓約, 固い約束 / 【名/U】担保, 抵当 / 【動/他】を誓約する, を固く約束する / に誓約させる / を担保に入れる",/ plɛdʒ /,32255,I pledge to always be there for you.,いつもあなたのそばにいることを誓います。,3002861
,,,ledger,"〈C〉元帳, 原簿, 台帳",/ˈlɛdʒər/,24165,I need to update the ledger with the latest transactions.,最新の取引で元帳を更新する必要があります。,3000795
,,,advisory,"勧告の,忠告の;諮問の",/ədˈvaɪzəri/,646,The government issued an advisory to the public regarding the upcoming storm.,政府は、近日予想される嵐に関して一般市民に勧告を出しました。,1634074
,,,customize,…'を'注文どおりに作る,/ˈkʌstəˌmaɪz/,10494,You can customize your order to your liking.,あなたは注文どおりに作ることができます。,1640230
,,,formulation,"〈U〉公式化,  定式化, 制定 / 《薬学》製法, 処方, 製剤 / 〈C〉明確な表現",/fɔːrˌmjʊˈleɪʃən/,16668,The formulation of the new policy took several months.,新しい政策の策定には数ヶ月かかりました。,1629016
,,,likelihood,"【名/U】《...が》ありそうなこと / 《...の》見込み,可能性ある《of》",/lɑɪklihʊd/,24523,There is a high likelihood of rain tomorrow.,明日は雨の可能性が高いです。,3000875
,,,harsh,"【形】(感触や目・耳など五感に)不快な / 厳しい, 過酷な / 【動/自】《くだけて》《...のことを》ひどくけなす《for ...》",/hɑːrʃ/,19320,The harsh winter wind cut through my coat.,厳しい冬の風が私のコートを貫いた。,2999527
,,,locally,"【副】地方的に, 局部的に / 地元で, 近くで",/ləʊkəli/,24859,I love to support locally owned businesses.,地元の経営者が運営するビジネスを応援するのが好きです。,1653512
